epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,727.437,0.74818,0.48215,1.08273,0.92193,0.92156,0.9588,0.67074,0.79356,0.45284,1.1692,0.00121041,0.00121041,0.00121041
85,736.826,0.74046,0.48747,1.09828,0.95674,0.86587,0.94041,0.65226,0.81006,0.46388,1.19671,0.00120491,0.00120491,0.00120491
86,746.436,0.71144,0.46541,1.06985,0.94811,0.86807,0.94616,0.66962,0.77414,0.44563,1.14251,0.00119941,0.00119941,0.00119941
87,756.7,0.7672,0.51118,1.10709,0.9346,0.88158,0.93896,0.68346,0.74476,0.447,1.11999,0.00119391,0.00119391,0.00119391
88,765.539,0.68157,0.47555,1.07197,0.94844,0.85526,0.91223,0.67691,0.78321,0.47761,1.15175,0.0011884,0.0011884,0.0011884
89,775.08,0.72674,0.49413,1.09518,0.91733,0.93096,0.93498,0.67985,0.76094,0.44129,1.15546,0.0011829,0.0011829,0.0011829
90,784.795,0.70661,0.47127,1.0724,0.88747,0.9332,0.93046,0.66652,0.79428,0.47576,1.15525,0.0011774,0.0011774,0.0011774
91,795.177,0.7219,0.47261,1.08227,0.89068,0.91748,0.93895,0.66972,0.77865,0.48578,1.16419,0.0011719,0.0011719,0.0011719
92,804.647,0.71574,0.48213,1.07136,0.9667,0.90541,0.95046,0.68376,0.77738,0.43008,1.15909,0.0011664,0.0011664,0.0011664
93,813.267,0.71574,0.46694,1.07116,0.94176,0.92514,0.96197,0.67824,0.76806,0.43419,1.14453,0.0011609,0.0011609,0.0011609
94,822.844,0.70298,0.47414,1.07196,0.91181,0.92105,0.91985,0.66787,0.78717,0.42464,1.15116,0.0011554,0.0011554,0.0011554
95,832.334,0.69384,0.45481,1.0814,0.90757,0.94419,0.95665,0.67517,0.79469,0.43459,1.14704,0.0011499,0.0011499,0.0011499
96,843.023,0.72212,0.47579,1.08973,0.90337,0.90937,0.91181,0.66516,0.79426,0.44036,1.15265,0.0011444,0.0011444,0.0011444
97,853.426,0.69693,0.46238,1.06656,0.91731,0.94714,0.95884,0.68989,0.77732,0.42491,1.13789,0.00113889,0.00113889,0.00113889
98,862.646,0.6975,0.44793,1.0712,0.95248,0.91656,0.96279,0.67487,0.79831,0.44552,1.16072,0.00113339,0.00113339,0.00113339
99,871.267,0.70579,0.43507,1.08675,0.96513,0.90652,0.95532,0.69011,0.77935,0.42588,1.15893,0.00112789,0.00112789,0.00112789
100,882.249,0.66257,0.44877,1.06328,0.95523,0.95062,0.96188,0.68148,0.81668,0.43785,1.18137,0.00112239,0.00112239,0.00112239
101,893.182,0.68012,0.45525,1.0711,0.9113,0.93421,0.95614,0.69577,0.81497,0.45131,1.17991,0.00111689,0.00111689,0.00111689
102,903.36,0.69119,0.45405,1.0732,0.95232,0.92582,0.96116,0.67513,0.78917,0.41704,1.14627,0.00111139,0.00111139,0.00111139
103,913.25,0.68388,0.44254,1.07171,0.95145,0.91392,0.96082,0.68159,0.76908,0.41624,1.15272,0.00110589,0.00110589,0.00110589
104,923.138,0.71953,0.47939,1.05936,0.91332,0.93421,0.9424,0.67698,0.79012,0.44627,1.13304,0.00110039,0.00110039,0.00110039
105,933.924,0.70989,0.47376,1.07509,0.87347,0.92105,0.94024,0.69212,0.75269,0.43794,1.12992,0.00109489,0.00109489,0.00109489
106,943.781,0.67618,0.45129,1.06726,0.92883,0.90789,0.94707,0.70388,0.75222,0.42091,1.12305,0.00108938,0.00108938,0.00108938
107,953.908,0.69884,0.46567,1.0837,0.96292,0.90491,0.95765,0.70176,0.77993,0.4485,1.14639,0.00108388,0.00108388,0.00108388
108,963.261,0.68235,0.45623,1.07693,0.92706,0.91469,0.96381,0.6807,0.81818,0.48381,1.16455,0.00107838,0.00107838,0.00107838
109,973.147,0.69545,0.44092,1.05412,0.89628,0.9198,0.95439,0.68731,0.79023,0.45599,1.15078,0.00107288,0.00107288,0.00107288
110,982.543,0.69978,0.4737,1.08261,0.91736,0.90308,0.92923,0.66764,0.79302,0.44197,1.16308,0.00106738,0.00106738,0.00106738
111,992.811,0.67031,0.46464,1.06298,0.9587,0.89474,0.93712,0.66107,0.78386,0.44388,1.16496,0.00106188,0.00106188,0.00106188
112,1002.86,0.71461,0.47051,1.09924,0.8989,0.88464,0.92208,0.66664,0.77732,0.46884,1.14098,0.00105638,0.00105638,0.00105638
113,1013.28,0.69245,0.44712,1.06625,0.85756,0.90881,0.91694,0.62954,0.86127,0.49069,1.1925,0.00105088,0.00105088,0.00105088
